County_no	County	No. of Households	Area in Sq. Km.	Population Density	Male	Female	Total
1	MOMBASA	"268,700"	"3,079.00"	305.1	"486,924"	"452,446"	"939,370"
2	KWALE	"122,047"	"1,265.00"	513.8	"315,997"	"333,934"	"649,931"
3	KILIFI	"199,764"	"2,343.00"	473.6	"535,526"	"574,209"	"1,109,735"
4	TANARIVER	"47,414"	626	383.5	"119,853"	"120,222"	"240,075"
5	LAMU	"22,184"	265	383.2	"53,045"	"48,494"	"101,539"
6	TAITA TAVETA	"71,090"	971	293.2	"145,334"	"139,323"	"284,657"
7	GARISSA	"98,590"	861	723.7	"334,939"	"288,121"	"623,060"
8	WAJIR	"88,574"	815	812.2	"363,766"	"298,175"	"661,941"
9	MANDERA	"125,497"	"1,038.00"	988.2	"559,943"	"465,813"	"1,025,756"
10	MARSABIT	"56,941"	653	445.9	"151,112"	"140,054"	"291,166"
11	ISIOLO	"31,326"	397	360.9	"73,694"	"69,600"	"143,294"
12	MERU	"319,616"	"3,196.00"	424.4	"670,656"	"685,645"	"1,356,301"
13	THARAKA	"88,803"	"1,102.00"	331.5	"178,451"	"186,879"	"365,330"
14	EMBU	"131,683"	"1,296.00"	398.3	"254,303"	"261,909"	"516,212"
15	KITUI	"205,491"	"3,587.00"	282.3	"481,282"	"531,427"	"1,012,709"
16	MACHAKOS	"264,500"	"3,052.00"	360	"543,139"	"555,445"	"1,098,584"
17	MAKUENI	"186,478"	"2,344.00"	377.4	"430,710"	"453,817"	"884,527"
18	NYANDARUA	"143,879"	"1,259.00"	473.6	"292,155"	"304,113"	"596,268"
19	NYERI	"201,703"	"2,077.00"	333.9	"339,725"	"353,833"	"693,558"
20	KIRINYAGA	"154,220"	"1,401.00"	376.9	"260,630"	"267,424"	"528,054"
21	MURANGA	"255,696"	"2,517.00"	374.5	"457,864"	"484,717"	"942,581"
22	KIAMBU	"469,244"	"4,946.00"	328.2	"802,609"	"820,673"	"1,623,282"
23	TURKANA	"123,191"	"1,520.00"	562.8	"445,069"	"410,330"	"855,399"
24	WEST POKOT	"93,777"	"1,407.00"	364.4	"254,827"	"257,863"	"512,690"
25	SAMBURU	"47,354"	542	413.2	"112,007"	"111,940"	"223,947"
26	TRANS-NZOIA	"170,117"	"1,611.00"	508.2	"407,172"	"411,585"	"818,757"
27	UASIN GISHU	"202,291"	"2,112.00"	423.4	"448,994"	"445,185"	"894,179"
28	ELGIYO MARAKWET	"77,555"	"1,107.00"	334.2	"183,738"	"186,260"	"369,998"
29	NANDI	"154,073"	"1,777.00"	423.7	"376,488"	"376,477"	"752,965"
30	BARINGO	"110,649"	"1,970.00"	282	"279,081"	"276,480"	"555,561"
31	LAIKIPIA	"103,114"	"1,023.00"	390.3	"198,625"	"200,602"	"399,227"
32	NAKURU	"409,836"	"4,650.00"	344.8	"804,582"	"798,743"	"1,603,325"
33	NAROK	"169,220"	"1,852.00"	459.5	"429,026"	"421,894"	"850,920"
34	KAJIADO	"173,464"	"1,105.00"	351.6	"345,146"	"342,166"	"687,312"
35	BOMET	"142,361"	"1,630.00"	444.3	"359,727"	"364,459"	"724,186"
36	KERICHO	"160,134"	"1,886.00"	402.1	"381,980"	"376,359"	"758,339"
37	KAKAMEGA	"355,679"	"3,343.00"	496.8	"800,989"	"859,662"	"1,660,651"
38	VIHIGA	"123,347"	"1,271.00"	436.4	"262,716"	"291,906"	"554,622"
39	BUNGOMA	"321,628"	"3,123.00"	522.2	"710,510"	"835,339"	"1,630,934"
40	BUSIA	"103,421"	"1,171.00"	416.8	"232,075"	"256,000"	"488,075"
41	SIAYA	"199,034"	"2,183.00"	385.9	"398,652"	"443,652"	"842,304"
42	KISUMU	"226,719"	"2,407.00"	402.5	"474,760"	"494,149"	"968,909"
43	HOMA BAY	"160,935"	"1,754.00"	427.2	"357,273"	"392,058"	"749,331"
44	MIGORI	"41,800"	489	523.7	"125,938"	"130,148"	"256,086"
45	KISII	"245,029"	"2,588.00"	445.2	"550,464"	"601,818"	"1,152,282"
46	NYAMIRA	"131,039"	"1,291.00"	463.4	"287,048"	"311,204"	"598,252"
47	NAIROBI	"985,016"	"10,323.00"	304	"1,605,230"	"1,533,139"	"3,138,369"
